director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres
Len Wiseman,Sophia Myles,Kevin Grevioux,Shane Brolly,underworld,Action|Fantasy|Thriller
Mikael Håfström,Denis O'Hare,RZA,Xzibit,derailed,Drama|Thriller
Steven Soderbergh,Matt Damon,Joel McHale,Thomas F. Wilson,the informant!,Comedy|Crime|Drama|Thriller
Richard Attenborough,Anthony Hopkins,James Frain,Julian Fellowes,shadowlands,Biography|Drama|Romance
Mike Bigelow,Carlos Ponce,Eddie Griffin,Charles Keating,deuce bigalow: european gigolo,Comedy
Ken Scott,Jack Reynor,Bobby Moynihan,Matthew Daddario,delivery man,Comedy|Drama
Paul McGuigan,Daniel Radcliffe,Spencer Wilding,Daniel Mays,victor frankenstein,Drama|Horror|Sci-Fi|Thriller
Susanna White,Radivoje Bukvic,Pawel Szajda,Grigoriy Dobrygin,our kind of traitor,Thriller
Dennis Dugan,Amanda Detmer,Neil Diamond,Kyle Gass,saving silverman,Comedy|Crime|Romance
David Bowers,Zachary Gordon,Rachael Harris,Karan Brar,diary of a wimpy kid: dog days,Comedy|Family
Spike Lee,Mira Sorvino,Jennifer Esposito,Mike Starr,summer of sam,Crime|Drama|Romance|Thriller
Kevin Smith,Will Ferrell,Shannon Elizabeth,Jason Mewes,jay and silent bob strike back,Comedy
Michael Bay,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,the island,Action|Adventure|Romance|Sci-Fi|Thriller
Daniel Sackheim,Chris Noth,Bruce Dern,Trevor Morgan,the glass house,Crime|Drama|Mystery|Thriller
Ethan Coen,Scarlett Johansson,Channing Tatum,Alden Ehrenreich,"hail, caesar!",Comedy|Mystery
Harry Elfont,Rosario Dawson,Paulo Costanzo,Aries Spears,josie and the pussycats,Comedy|Music
Gary Fleder,Jason Statham,James Franco,Frank Grillo,homefront,Action|Crime|Drama|Thriller
Uli Edel,Richard E. Grant,Jim Carter,Alice Krige,the little vampire,Adventure|Comedy|Family|Fantasy
David O. Russell,Naomi Watts,Lily Tomlin,Isabelle Huppert,i heart huckabees,Comedy
Fred Dekker,CCH Pounder,Rip Torn,Mako,robocop 3,Action|Crime|Sci-Fi|Thriller
Brian Trenchard-Smith,Michael Biehn,Udo Kier,Franco Nero,megiddo: the omega code 2,Action|Adventure|Fantasy|Sci-Fi|Thriller
Blake Edwards,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,darling lili,Comedy|Drama|Musical|Romance|War
Hugh Wilson,Brendan Fraser,Alex Rocco,Eric Idle,dudley do-right,Comedy|Family|Romance
Camille Delamarre,Ed Skrein,Noémie Lenoir,Radivoje Bukvic,the transporter refueled,Action|Crime|Thriller
Laurence Dunmore,Johnny Depp,Jack Davenport,Richard Coyle,the libertine,Drama|Romance
Paul Verhoeven,Michiel Huisman,Sebastian Koch,Christian Berkel,black book,Drama|Thriller|War
Christian Carion,Gary Lewis,Dany Boon,Ian Richardson,joyeux noel,Drama|History|Music|Romance|War
David Palmer,Bradley Cooper,Tom Arnold,Beau Bridges,hit and run,Action|Comedy|Romance
Callie Khouri,Stephen Root,Ted Danson,Roger Cross,mad money,Comedy|Crime|Thriller
Rowan Joffe,Colin Firth,Ben Crompton,Anne-Marie Duff,before i go to sleep,Drama|Mystery|Thriller
William Friedkin,Roy Scheider,Joe Spinell,Amidou,sorcerer,Adventure|Drama|Thriller
John Curran,Robert De Niro,Milla Jovovich,Frances Conroy,stone,Drama|Thriller
Laurent Tirard,Romain Duris,Ludivine Sagnier,Fabrice Luchini,molière,Comedy|History
Scott Cooper,Christian Bale,Sam Shepard,Dendrie Taylor,out of the furnace,Crime|Drama|Thriller
Tony Gilroy,Tom Wilkinson,Denis O'Hare,Sydney Pollack,michael clayton,Crime|Drama|Mystery|Thriller
Peter Segal,Wilford Brimley,Bradley Whitford,Sela Ward,my fellow americans,Adventure|Comedy
Mark Pellington,Jeff Bridges,Spencer Treat Clark,Hope Davis,arlington road,Crime|Drama|Thriller
Juan José Campanella,Pablo Rago,Diego Ramos,Gabriel Almirón,underdogs,Adventure|Animation|Family|Sport
Woody Allen,Ornella Muti,Judy Davis,Alessandra Mastronardi,to rome with love,Comedy|Romance
Clint Eastwood,Clint Eastwood,Warren Clarke,Kenneth Colley,firefox,Action|Adventure|Thriller
Trey Parker,Minnie Driver,Eric Idle,Trey Parker,south park: bigger longer & uncut,Animation|Comedy|Fantasy|Musical
Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,death at a funeral,Comedy
Stuart Gillard,Paige Turco,John Aylward,Matt Hill,teenage mutant ninja turtles iii,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
Brian Robbins,Keanu Reeves,D.B. Sweeney,DeWayne Warren,hardball,Drama|Sport
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,silver linings playbook,Comedy|Drama|Romance
Richard LaGravenese,Hunter Parrish,Scott Glenn,Imelda Staunton,freedom writers,Biography|Crime|Drama
Tyler Perry,Omari Hardwick,Loretta Devine,Kimberly Elise,for colored girls,Drama
Louis Leterrier,Jason Statham,Qi Shu,Matt Schulze,the transporter,Action|Crime|Thriller
Jeff Wadlow,Djimon Hounsou,Neil Brown Jr.,Leslie Hope,never back down,Action|Drama|Sport
Katt Shea,Jason London,Rachel Blanchard,Eddie Kaye Thomas,the rage: carrie 2,Horror|Sci-Fi|Thriller
unknown,Chris Harrison,unknown,unknown,the bachelor            ,Game-Show|Reality-TV|Romance
Sam Mendes,Catherine O'Hara,Jim Gaffigan,Carmen Ejogo,away we go,Comedy|Drama|Romance
Joshua Michael Stern,Madeline Carroll,Judge Reinhold,Nathan Lane,swing vote,Comedy|Drama
Brad Silberling,Jake Gyllenhaal,Holly Hunter,Bob Clendenin,moonlight mile,Drama|Romance
Tomas Alfredson,Benedict Cumberbatch,Colin Firth,Gary Oldman,tinker tailor soldier spy,Drama|Mystery|Thriller
John Duigan,Elaine Hendrix,Jill Hennessy,Sarah Wynter,molly,Comedy|Drama|Romance
Jodie Foster,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart,the beaver,Drama
Colin Higgins,Dolly Parton,Barry Corbin,Dom DeLuise,the best little whorehouse in texas,Comedy|Musical
David Cronenberg,Jennifer Jason Leigh,Sarah Polley,Callum Rennie,existenz,Horror|Sci-Fi|Thriller
Steven Spielberg,Harrison Ford,Karen Allen,William Hootkins,raiders of the lost ark,Action|Adventure
Chris Columbus,Macaulay Culkin,Kieran Culkin,Devin Ratray,home alone 2: lost in new york,Adventure|Comedy|Family
Steven Spielberg,Bob Balaban,Teri Garr,Melinda Dillon,close encounters of the third kind,Drama|Sci-Fi
Jim Sonzero,Ian Somerhalder,Christina Milian,Rick Gonzalez,pulse,Drama|Horror|Sci-Fi|Thriller
Tony Scott,Dean Stockwell,Judge Reinhold,Ronny Cox,beverly hills cop ii,Action|Comedy|Crime|Thriller
Adam Shankman,Angus T. Jones,Kimberly J. Brown,Steve Harris,bringing down the house,Comedy
Jonathan Demme,Anthony Hopkins,Scott Glenn,Anthony Heald,the silence of the lambs,Crime|Drama|Horror|Thriller
Penelope Spheeris,Tia Carrere,Lara Flynn Boyle,Kurt Fuller,wayne's world,Comedy|Music
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,jackass 3d,Action|Comedy|Documentary
Jeannot Szwarc,Roy Scheider,Murray Hamilton,Joseph Mascolo,jaws 2,Adventure|Horror|Thriller
Raja Gosnell,Jamie Lee Curtis,Nick Zano,Ali Hillis,beverly hills chihuahua,Adventure|Comedy|Drama|Family|Romance
James Wan,Mackenzie Foy,Lili Taylor,Hayley McFarland,the conjuring,Horror|Mystery|Thriller
Brian Levant,Nia Long,Tracy Morgan,Jay Mohr,are we there yet?,Adventure|Comedy|Family|Romance
Ben Falcone,Gary Cole,Mark Duplass,Ben Falcone,tammy,Comedy
D.J. Caruso,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo,disturbia,Drama|Mystery|Thriller
Richard Linklater,Miranda Cosgrove,Sarah Silverman,Mike White,school of rock,Comedy|Music
Paul W.S. Anderson,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,mortal kombat,Action|Adventure|Fantasy|Sci-Fi|Thriller
Paul McGuigan,Jessica Paré,Christopher Cousins,Mark Camacho,wicker park,Drama|Mystery|Romance|Thriller
Keenen Ivory Wayans,Busy Philipps,Jaime King,Brittany Daniel,white chicks,Comedy|Crime
Alexander Payne,Shailene Woodley,Nick Krause,Beau Bridges,the descendants,Comedy|Drama
Andrew Davis,Tim Blake Nelson,Zane Holtz,Ski Carr,holes,Adventure|Comedy|Drama|Family|Mystery
Julie Anne Robinson,Kelly Preston,Bobby Coleman,Melissa Ordway,the last song,Drama|Family|Music|Romance
Steve McQueen,Quvenzhané Wallis,Scoot McNairy,Taran Killam,12 years a slave,Biography|Drama|History
Charles Stone III,Leonard Roberts,Nick Cannon,Jason Weaver,drumline,Comedy|Drama|Music|Romance
Tyler Perry,Michael Jai White,Cicely Tyson,Tasha Smith,why did i get married too?,Comedy|Drama|Romance
Tim Burton,Johnny Depp,Dianne Wiest,Conchata Ferrell,edward scissorhands,Fantasy|Romance
Thea Sharrock,Sam Claflin,Emilia Clarke,Brendan Coyle,me before you,Drama|Romance
Tyler Perry,John Amos,Tom Arnold,Romeo Miller,madea's witness protection,Comedy|Crime|Drama
William Friedkin,Roy Scheider,Fernando Rey,Tony Lo Bianco,the french connection,Action|Crime|Drama|Thriller
Jon Lucas,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,bad moms,Comedy
Aaron Seltzer,Alyson Hannigan,Carmen Electra,Fred Willard,date movie,Comedy|Romance
Robin Budd,Roger Rees,Rob Paulsen,Spencer Breslin,return to never land,Adventure|Animation|Family|Fantasy
Ava DuVernay,David Oyelowo,Tom Wilkinson,Oprah Winfrey,selma,Biography|Drama|History
Steve Trenbirth,Haley Joel Osment,Phil Collins,Tony Jay,the jungle book 2,Adventure|Animation|Family|Musical
Stephen Kay,Barry Watson,Skye McCole Bartusiak,Charles Mesure,boogeyman,Drama|Horror|Mystery|Thriller
Mennan Yapo,Nia Long,Amber Valletta,Marc Macaulay,premonition,Drama|Mystery|Thriller
Jun Falkenstein,Kath Soucie,John Fiedler,Ken Sansom,the tigger movie,Animation|Comedy|Drama|Family|Musical
Jaume Collet-Serra,Jimmy Bennett,CCH Pounder,Aryana Engineer,orphan,Horror|Mystery|Thriller
Boaz Yakin,Jay Hernandez,Joseph Julian Soria,Edgar Arreola,max,Adventure|Family
unknown,Lamman Rucker,David Mann,Denise Boutte,meet the browns            ,Comedy
Jason Friedberg,David Carradine,Carmen Electra,Fred Willard,epic movie,Adventure|Comedy
John Milius,William Smith,Mako,Sandahl Bergman,conan the barbarian,Adventure|Fantasy
Tom McCarthy,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,spotlight,Biography|Crime|Drama|History
Neil LaBute,Jay Hernandez,Justin Chambers,Robert Pine,lakeview terrace,Crime|Drama|Thriller
Takashi Shimizu,Sarah Michelle Gellar,Sarah Roemer,Matthew Knight,the grudge 2,Horror|Thriller
Kevin Rodney Sullivan,Richard Lawson,James Pickens Jr.,Barry Shabaka Henley,how stella got her groove back,Comedy|Drama|Romance
Peter Hewitt,Keanu Reeves,George Carlin,Alex Winter,bill & ted's bogus journey,Adventure|Comedy|Fantasy|Music|Sci-Fi
Barry Levinson,Robin Williams,Tina Fey,Amy Poehler,man of the year,Comedy|Drama|Romance|Thriller
Gary Nelson,Robert Forster,Maximilian Schell,Yvette Mimieux,the black hole,Action|Sci-Fi
Anton Corbijn,Violante Placido,Thekla Reuten,Filippo Timi,the american,Crime|Drama|Thriller
Gregory Nava,Jon Seda,Constance Marie,Jacob Vargas,selena,Biography|Drama|Music
Jason Friedberg,Diedrich Bader,Dave Foley,Anneliese van der Pol,vampires suck,Comedy
Alejandro G. Iñárritu,Brad Pitt,Harriet Walter,Dermot Crowley,babel,Drama
Shawn Levy,Tina Fey,Abigail Spencer,Jane Fonda,this is where i leave you,Comedy|Drama
John Patrick Shanley,Philip Seymour Hoffman,Meryl Streep,Carrie Preston,doubt,Drama|Mystery
Trey Parker,Jeremy Shada,Maurice LaMarche,Trey Parker,team america: world police,Action|Comedy
John Luessenhop,Gunnar Hansen,Keram Malicki-Sánchez,Shaun Sipos,texas chainsaw 3d,Horror|Thriller
Jon Amiel,William McNamara,Holly Hunter,Harry Connick Jr.,copycat,Crime|Drama|Mystery|Thriller
Malcolm D. Lee,Marisa Saks,Snoop Dogg,Molly Shannon,scary movie 5,Comedy
Joshua Logan,Clint Eastwood,Lee Marvin,Ray Walston,paint your wagon,Comedy|Drama|Musical|Romance|Western
Gus Van Sant,James Franco,Denis O'Hare,Lucas Grabeel,milk,Biography|Drama|History
Kevin Reynolds,Peter Firth,Jan Cornet,María Botto,risen,Action|Adventure|Drama|Mystery
Steve Beck,Isaiah Washington,Ron Eldard,Francesca Rettondini,ghost ship,Horror
Todd Strauss-Schulson,Patton Oswalt,Thomas Lennon,Paula Garcés,a very harold & kumar 3d christmas,Adventure|Comedy
John McNaughton,Bill Murray,Robert Wagner,Jeff Perry,wild things,Crime|Drama|Mystery|Thriller
Nelson McCormick,Sela Ward,Paige Turco,Skyler Samuels,the stepfather,Crime|Thriller
John Madden,Tom Wilkinson,Jesper Christensen,Romi Aboulafia,the debt,Drama|Thriller
Stephen Frears,Drake Bell,Lili Taylor,Lisa Bonet,high fidelity,Comedy|Drama|Music|Romance
Eric Valette,Johnny Lewis,Jason Beghe,Margaret Cho,one missed call,Horror|Mystery
John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,eye for an eye,Crime|Drama|Thriller
Roger Donaldson,Jason Statham,Saffron Burrows,Daniel Mays,the bank job,Crime|Drama|Romance|Thriller
Michel Gondry,Kate Winslet,Kirsten Dunst,Tom Wilkinson,eternal sunshine of the spotless mind,Drama|Fantasy|Romance|Sci-Fi
Andy Fickman,Jamie Lee Curtis,James Wolk,Christine Lakin,you again,Comedy|Family|Romance
David Ayer,Keanu Reeves,Chris Evans,Noel Gugliemi,street kings,Action|Crime|Drama|Thriller
Edgar Wright,Michael Smiley,Thomas Law,Jasper Levine,the world's end,Action|Comedy|Sci-Fi
Andrew Fleming,Kay Panabaker,Laura Harring,Tate Donovan,nancy drew,Comedy|Crime|Family|Mystery|Romance|Thriller
Michael Spierig,Jay Laga'aia,Damien Garvey,Tiffany Lamb,daybreakers,Action|Horror|Sci-Fi|Thriller
Jim Field Smith,Mike Vogel,Kim Shaw,Geoff Stults,she's out of my league,Comedy|Romance
Thomas Bezucha,Leighton Meester,Luke Bracey,Brett Cullen,monte carlo,Adventure|Comedy|Family|Romance
William Brent Bell,Adam Goldberg,Frankie Muniz,Samaire Armstrong,stay alive,Horror|Thriller
Simon Wincer,Alan Rickman,Tom Selleck,Ben Mendelsohn,quigley down under,Action|Adventure|Drama|Romance|Western
Anthony Bell,Kevin Sussman,Larry Miller,Christine Lakin,alpha and omega,Adventure|Animation|Comedy|Family|Romance
Renny Harlin,Laura Ramsey,Kyle Schmid,Toby Hemingway,the covenant,Action|Fantasy|Horror|Thriller
Jessica Bendinger,Jeff Bridges,Vanessa Lengies,John Patrick Amedori,stick it,Comedy|Drama|Sport
Robert Rodriguez,Jimmy Bennett,Leo Howard,Jake Short,shorts,Comedy|Family|Fantasy
Gus Van Sant,Kurtwood Smith,Wayne Knight,Holland Taylor,to die for,Comedy|Crime|Drama
Henry Joost,Samira Wiley,Marc John Jefferies,Emily Meade,nerve,Adventure|Crime|Mystery|Sci-Fi|Thriller
Ed Harris,Viggo Mortensen,James Gammon,Tom Bower,appaloosa,Crime|Drama|Western
John Carpenter,Sheryl Lee,Cary-Hiroyuki Tagawa,Maximilian Schell,vampires,Action|Horror|Thriller
unknown,Pablo Sevilla,unknown,unknown,yu-gi-oh! duel monsters            ,Action|Adventure|Animation|Family|Fantasy
Alfred Hitchcock,Janet Leigh,Vera Miles,John Gavin,psycho,Horror|Mystery|Thriller
Howard Deutch,Dane Cook,Taran Killam,Riki Lindhome,my best friend's girl,Comedy|Romance
Shana Feste,Alex Pettyfer,Bruce Greenwood,Rhys Wakefield,endless love,Drama|Romance
Garry Marshall,Hector Elizondo,Zachary Gordon,Jane Fonda,georgia rule,Comedy|Drama
Steve Rash,Mako,Adam Arkin,Billy Barty,under the rainbow,Comedy
Richard Donner,Matthew Broderick,John Wood,Leo McKern,ladyhawke,Adventure|Comedy|Drama|Fantasy
Mark Steven Johnson,Oliver Platt,Jan Hooks,Dana Ivey,simon birch,Comedy|Drama|Family
Mike Binder,Adam Sandler,Don Cheadle,John de Lancie,reign over me,Drama
Sean Penn,Kristen Stewart,William Hurt,Hal Holbrook,into the wild,Adventure|Biography|Drama
Todd Phillips,Jon Heder,Sarah Silverman,Jacinda Barrett,school for scoundrels,Comedy
Michael J. Bassett,Radha Mitchell,Deborah Kara Unger,Martin Donovan,silent hill: revelation 3d,Adventure|Drama|Horror|Mystery|Thriller
Robert Rodriguez,Quentin Tarantino,Salma Hayek,Cheech Marin,from dusk till dawn,Crime|Fantasy|Horror
Frank Nissen,Kath Soucie,Brenda Blethyn,John Fiedler,pooh's heffalump movie,Animation|Family|Fantasy|Mystery
Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,home for the holidays,Comedy|Drama|Romance
Stephen Chow,Shengyi Huang,Chi Ling Chiu,Qiu Yuen,kung fu hustle,Action|Comedy|Crime|Fantasy
unknown,Leah Remini,Mark Feuerstein,Sharon Lawrence,fired up            ,Comedy
Peter Hastings,Haley Joel Osment,Alex Rocco,Stephen Root,the country bears,Comedy|Family|Music|Musical
Marc Forster,Mustafa Haidari,Shaun Toub,Khalid Abdalla,the kite runner,Drama
Alejandro G. Iñárritu,Naomi Watts,Eddie Marsan,Danny Huston,21 grams,Drama
Paul Abascal,Cole Hauser,Tom Hollander,Kelly Carlson,paparazzi,Action|Crime|Drama|Thriller
Catherine Hardwicke,Kristen Stewart,Taylor Lautner,Anna Kendrick,twilight,Drama|Fantasy|Romance
Chris Koch,Thomas Lennon,Lochlyn Munro,James Brolin,a guy thing,Comedy|Romance
Amy Heckerling,Andy Dick,Robert Miano,Zak Orth,loser,Comedy|Romance
Michael Moore,Ronald Reagan,Michael Moore,Bernie Sanders,capitalism: a love story,Crime|Documentary|News
George Stevens,Martin Landau,Carroll Baker,José Ferrer,the greatest story ever told,Biography|Drama|History
Billy Ray,Julia Roberts,Michael Kelly,Joe Cole,secret in their eyes,Crime|Drama|Mystery|Thriller
Jason Friedberg,Carmen Electra,Tony Cox,Ike Barinholtz,disaster movie,Comedy
Nimród Antal,Andrew Fiscella,Fred Ward,Lorna Raver,armored,Action|Crime|Thriller
Jon Amiel,Bill Murray,Peter Gallagher,Joanne Whalley,the man who knew too little,Action|Comedy|Crime|Thriller
Mark Mylod,Chris Evans,Ari Graynor,Ed Begley Jr.,what's your number?,Comedy|Romance
James Mather,Joseph Gilgun,Vincent Regan,Jacky Ido,lockout,Action|Adventure|Sci-Fi|Thriller
Barry Levinson,Amy Poehler,Ariel Gade,Sam Lerner,envy,Comedy
Mark Neveldine,Jason Statham,Clifton Collins Jr.,David Carradine,crank: high voltage,Action|Crime|Sci-Fi|Thriller
Woody Allen,Jim Broadbent,Chazz Palminteri,Dianne Wiest,bullets over broadway,Comedy|Crime
Michael O. Sajbel,James Callis,Tiffany Dupont,Nimrat Kaur,one night with the king,Biography|Drama|History
Phillip Noyce,Brendan Fraser,Tzi Ma,Holmes Osborne,the quiet american,Drama|Mystery|Romance|Thriller|War
Gore Verbinski,Nicolas Cage,Hope Davis,Michael Rispoli,the weather man,Comedy|Drama
Walter Hill,Fisher Stevens,Wes Studi,Jon Seda,undisputed,Action|Crime|Drama|Sport
David Koepp,Aasif Mandvi,Dequina Moore,Jordan Carlos,ghost town,Comedy|Drama|Fantasy|Romance
Renny Harlin,Taylor Cole,Ashley Scott,Nick Gomez,12 rounds,Action|Crime|Thriller
Matt Reeves,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,let me in,Drama|Fantasy|Horror|Mystery
Charles T. Kanganis,Victor Wong,Dustin Nguyen,Don Stark,3 ninjas kick back,Action|Comedy|Family
Michel Gondry,Quinton Aaron,Mia Farrow,Melonie Diaz,be kind rewind,Comedy
Stephen Frears,Bob Hoskins,Christopher Guest,Sarah Solemani,mrs henderson presents,Comedy|Drama|Music|War
John Hillcoat,Kate Winslet,Norman Reedus,Clifton Collins Jr.,triple 9,Action|Crime|Drama|Thriller
Woody Allen,Woody Allen,Lynn Cohen,Judy Davis,deconstructing harry,Comedy
Damon Santostefano,Matthew Perry,Oliver Platt,David Ramsey,three to tango,Comedy|Romance
John Wells,Bradley Cooper,Omar Sy,Riccardo Scamarcio,burnt,Comedy|Drama
Neil Jordan,Robert De Niro,Demi Moore,James Russo,we're no angels,Comedy|Crime
Woody Allen,Natasha Lyonne,Gaby Hoffmann,Jeff DeRocker,everyone says i love you,Comedy|Musical|Romance
Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,death at a funeral,Comedy
James Wan,Aisha Tyler,Kelly Preston,Edi Gathegi,death sentence,Action|Crime|Thriller
Kirk Jones,Robert De Niro,James Frain,Brendan Sexton III,everybody's fine,Adventure|Drama
Bob Clark,Scott Baio,Vanessa Angel,Peter Wingfield,superbabies: baby geniuses 2,Comedy|Family|Sci-Fi
Les Mayfield,Miguel Ferrer,Susie Essman,Gigi Rice,the man,Action|Comedy|Crime
Les Mayfield,Callum Rennie,Will Patton,Cedric the Entertainer,code name: the cleaner,Action|Comedy|Crime
Michael Lembeck,Debbie Reynolds,Nia Vardalos,Dash Mihok,connie and carla,Comedy|Crime|Music
Bob Fosse,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,sweet charity,Comedy|Drama|Music|Musical|Romance
Paul Thomas Anderson,Martin Dew,Katherine Waterston,Serena Scott Thomas,inherent vice,Comedy|Crime|Drama|Mystery|Romance
Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,doogal,Adventure|Animation|Comedy|Family|Fantasy
Benson Lee,Chris Brown,Caity Lotz,Laz Alonso,battle of the year,Drama|Music
unknown,LeVar Burton,Eric McCormack,Scott Wolf,perception            ,Crime|Drama|Mystery|Thriller
David Zucker,Chriss Anglin,Geoffrey Arend,Gary Coleman,an american carol,Comedy|Fantasy
Robert Rodriguez,Alexa PenaVega,Demián Bichir,Marko Zaror,machete kills,Action|Comedy|Crime|Thriller
Glen Morgan,Laura Harring,Ty Olsson,Jackie Burroughs,willard,Drama|Horror|Sci-Fi|Thriller
Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,strange wilderness,Adventure|Comedy
Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,topsy-turvy,Biography|Comedy|Drama|History|Music|Musical
Alejandro Monteverde,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,little boy,Drama|War
David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,a dangerous method,Biography|Drama|Thriller
Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,a scanner darkly,Animation|Drama|Mystery|Sci-Fi|Thriller
Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,chasing mavericks,Biography|Drama|Sport
Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,alone in the dark,Horror|Sci-Fi
Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,bandslam,Comedy|Drama|Family|Music|Romance
Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,birth,Drama|Mystery|Romance|Thriller
J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,a most violent year,Action|Crime|Drama|Thriller
Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,passchendaele,Drama|History|Romance|War
Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,flash of genius,Biography|Drama
Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,i'm not there.,Biography|Drama|Music
Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,the cold light of day,Action|Thriller
Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,the brothers bloom,Adventure|Comedy|Drama|Romance
Charlie Kaufman,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,"synecdoche, new york",Comedy|Drama|Romance
Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,princess mononoke,Adventure|Animation|Fantasy
Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,bon voyage,Comedy|Drama|Mystery|Romance|Thriller|War
Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,can't stop the music,Biography|Comedy|Musical
John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,the proposition,Crime|Drama|Western
Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,courage,Biography|Drama|Sport
Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,marci x,Comedy|Music
Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,equilibrium,Action|Drama|Sci-Fi|Thriller
Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,the children of huang shi,Drama|War
James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,the yards,Crime|Drama|Romance|Thriller
Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,the oogieloves in the big balloon adventure,Adventure|Family|Fantasy|Musical
Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,by the sea,Drama|Romance
Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,steamboy,Action|Adventure|Animation|Family|Sci-Fi|Thriller
David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,the game of their lives,Drama|History|Sport
Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,all good things,Crime|Drama|Mystery|Romance|Thriller
Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,rapa nui,Action|Adventure|Drama|History|Romance
Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam,cj7,Comedy|Family|Sci-Fi
Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,les couloirs du temps: les visiteurs ii,Comedy|Family|Fantasy|Sci-Fi
Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,dylan dog: dead of night,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller
Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,people i know,Crime|Drama|Mystery
unknown,Peter Vaughan,George Coulouris,Ewen Solon,the doombolt chase            ,Drama|Family
Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,the tempest,Comedy|Drama|Fantasy|Romance
Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,regression,Crime|Drama|Mystery|Thriller
Jane Clark,Necar Zadegan,Traci Dinwiddie,Elea Oberon,the touch,Romance|Short
Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,three kingdoms: resurrection of the dragon,Action|Drama|History|War
Mike Barker,Gerard Butler,Nicholas Lea,Callum Rennie,shattered,Crime|Drama|Thriller
Wayne Thornley,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,zambezia,Adventure|Animation|Comedy|Family
Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,ramanujan,Biography|Drama|History
Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,dwegons and leprechauns,Animation
